subject,body,label
Win a free iPhone!,Earn $5000 a week by following these simple steps.,1
Client Feedback,The project is on track and will be completed by the end of the week.,0
"Congratulations, you won!",Earn $5000 a week by following these simple steps.,1
Win a free iPhone!,You've been selected to receive a free gift card. Click here to claim it.,1
Meeting Reminder,Let's meet at 10 AM in the conference room.,0
Meeting Reminder,Received positive feedback from the client regarding the recent project.,0
Weekly Standup,The project is on track and will be completed by the end of the week.,0
Report Submission,Let's meet at 10 AM in the conference room.,0
Exclusive deal just for you,Earn $5000 a week by following these simple steps.,1
Report Submission,The project is on track and will be completed by the end of the week.,0
Lunch Plan,Let's meet at 10 AM in the conference room.,0
Project Update,Please find the attached report for your review.,0
Free gift card,Make money from home by completing simple tasks. Start earning today!,1
"Congratulations, you won!",Exclusive deal just for you! Get 50% off on your next purchase.,1
Limited time offer,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
"Congratulations, you won!",You've been selected to receive a free gift card. Click here to claim it.,1
Earn money online,You've been selected to receive a free gift card. Click here to claim it.,1
Project Update,Let's meet at 10 AM in the conference room.,0
Earn money online,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Win a free iPhone!,Exclusive deal just for you! Get 50% off on your next purchase.,1
Lunch Plan,The project is on track and will be completed by the end of the week.,0
Client Feedback,Lunch is planned at 1 PM today. Join us if available.,0
Project Update,Received positive feedback from the client regarding the recent project.,0
Free gift card,Earn $5000 a week by following these simple steps.,1
Invoice Attached,The team outing is scheduled for next Friday. Confirm your availability.,0
Client Feedback,Lunch is planned at 1 PM today. Join us if available.,0
Meeting Reminder,The project is on track and will be completed by the end of the week.,0
Earn money online,Exclusive deal just for you! Get 50% off on your next purchase.,1
Client Feedback,Received positive feedback from the client regarding the recent project.,0
Earn money online,Hurry! Limited time offer to get a free vacation package. Act now!,1
Limited time offer,Earn $5000 a week by following these simple steps.,1
Report Submission,The project is on track and will be completed by the end of the week.,0
Report Submission,Lunch is planned at 1 PM today. Join us if available.,0
Free gift card,Exclusive deal just for you! Get 50% off on your next purchase.,1
Team Outing,Received positive feedback from the client regarding the recent project.,0
Meeting Reminder,Let's meet at 10 AM in the conference room.,0
Team Outing,Lunch is planned at 1 PM today. Join us if available.,0
Project Update,The team outing is scheduled for next Friday. Confirm your availability.,0
Invoice Attached,Received positive feedback from the client regarding the recent project.,0
Meeting Reminder,Lunch is planned at 1 PM today. Join us if available.,0
"Congratulations, you won!",You've been selected to receive a free gift card. Click here to claim it.,1
"Congratulations, you won!",Make money from home by completing simple tasks. Start earning today!,1
Weekly Standup,The project is on track and will be completed by the end of the week.,0
Report Submission,Received positive feedback from the client regarding the recent project.,0
Free gift card,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Earn money online,Earn $5000 a week by following these simple steps.,1
Exclusive deal just for you,Hurry! Limited time offer to get a free vacation package. Act now!,1
Team Outing,Received positive feedback from the client regarding the recent project.,0
Free gift card,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Limited time offer,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Lunch Plan,Please find the attached report for your review.,0
Client Feedback,Received positive feedback from the client regarding the recent project.,0
Win a free iPhone!,Earn $5000 a week by following these simple steps.,1
Project Update,Received positive feedback from the client regarding the recent project.,0
Exclusive deal just for you,Earn $5000 a week by following these simple steps.,1
Team Outing,Please find the attached report for your review.,0
Free gift card,Exclusive deal just for you! Get 50% off on your next purchase.,1
Free gift card,Earn $5000 a week by following these simple steps.,1
"Congratulations, you won!",Make money from home by completing simple tasks. Start earning today!,1
Lunch Plan,The team outing is scheduled for next Friday. Confirm your availability.,0
Limited time offer,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Project Update,Please find the attached report for your review.,0
Client Feedback,Received positive feedback from the client regarding the recent project.,0
Project Update,Lunch is planned at 1 PM today. Join us if available.,0
Exclusive deal just for you,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Earn money online,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Earn money online,Earn $5000 a week by following these simple steps.,1
Team Outing,Lunch is planned at 1 PM today. Join us if available.,0
Free gift card,You've been selected to receive a free gift card. Click here to claim it.,1
Invoice Attached,The team outing is scheduled for next Friday. Confirm your availability.,0
Project Update,Lunch is planned at 1 PM today. Join us if available.,0
Weekly Standup,The team outing is scheduled for next Friday. Confirm your availability.,0
Meeting Reminder,Lunch is planned at 1 PM today. Join us if available.,0
"Congratulations, you won!",Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Lunch Plan,Let's meet at 10 AM in the conference room.,0
Client Feedback,Received positive feedback from the client regarding the recent project.,0
Weekly Standup,The project is on track and will be completed by the end of the week.,0
Client Feedback,Let's meet at 10 AM in the conference room.,0
Project Update,Let's meet at 10 AM in the conference room.,0
Free gift card,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Exclusive deal just for you,Hurry! Limited time offer to get a free vacation package. Act now!,1
Invoice Attached,The project is on track and will be completed by the end of the week.,0
Win a free iPhone!,Hurry! Limited time offer to get a free vacation package. Act now!,1
Weekly Standup,Please find the attached report for your review.,0
Limited time offer,Make money from home by completing simple tasks. Start earning today!,1
Invoice Attached,The project is on track and will be completed by the end of the week.,0
Client Feedback,Let's meet at 10 AM in the conference room.,0
Free gift card,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Win a free iPhone!,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Free gift card,You've been selected to receive a free gift card. Click here to claim it.,1
Project Update,The project is on track and will be completed by the end of the week.,0
Project Update,Lunch is planned at 1 PM today. Join us if available.,0
Limited time offer,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Free gift card,Hurry! Limited time offer to get a free vacation package. Act now!,1
Win a free iPhone!,You've been selected to receive a free gift card. Click here to claim it.,1
Lunch Plan,Please find the attached report for your review.,0
Lunch Plan,The project is on track and will be completed by the end of the week.,0
Team Outing,Lunch is planned at 1 PM today. Join us if available.,0
Limited time offer,Make money from home by completing simple tasks. Start earning today!,1
Win a free iPhone!,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Project Update,Let's meet at 10 AM in the conference room.,0
Free gift card,Make money from home by completing simple tasks. Start earning today!,1
Lunch Plan,Let's meet at 10 AM in the conference room.,0
Earn money online,Make money from home by completing simple tasks. Start earning today!,1
Report Submission,Received positive feedback from the client regarding the recent project.,0
"Congratulations, you won!",You've been selected to receive a free gift card. Click here to claim it.,1
Report Submission,Lunch is planned at 1 PM today. Join us if available.,0
Team Outing,Please find the attached report for your review.,0
Project Update,Lunch is planned at 1 PM today. Join us if available.,0
Earn money online,Make money from home by completing simple tasks. Start earning today!,1
"Congratulations, you won!",Make money from home by completing simple tasks. Start earning today!,1
Report Submission,Received positive feedback from the client regarding the recent project.,0
Meeting Reminder,Let's meet at 10 AM in the conference room.,0
Earn money online,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Team Outing,Lunch is planned at 1 PM today. Join us if available.,0
Exclusive deal just for you,Earn $5000 a week by following these simple steps.,1
Weekly Standup,Received positive feedback from the client regarding the recent project.,0
Project Update,Lunch is planned at 1 PM today. Join us if available.,0
Free gift card,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Free gift card,You've been selected to receive a free gift card. Click here to claim it.,1
Team Outing,Let's meet at 10 AM in the conference room.,0
Meeting Reminder,Please find the attached report for your review.,0
Client Feedback,Lunch is planned at 1 PM today. Join us if available.,0
Weekly Standup,Received positive feedback from the client regarding the recent project.,0
Exclusive deal just for you,Hurry! Limited time offer to get a free vacation package. Act now!,1
Exclusive deal just for you,Exclusive deal just for you! Get 50% off on your next purchase.,1
Lunch Plan,The team outing is scheduled for next Friday. Confirm your availability.,0
"Congratulations, you won!",Hurry! Limited time offer to get a free vacation package. Act now!,1
Project Update,The team outing is scheduled for next Friday. Confirm your availability.,0
Limited time offer,Hurry! Limited time offer to get a free vacation package. Act now!,1
Invoice Attached,Please find the attached report for your review.,0
Client Feedback,The project is on track and will be completed by the end of the week.,0
Client Feedback,The team outing is scheduled for next Friday. Confirm your availability.,0
Project Update,Please find the attached report for your review.,0
Weekly Standup,Lunch is planned at 1 PM today. Join us if available.,0
Free gift card,Make money from home by completing simple tasks. Start earning today!,1
Win a free iPhone!,Make money from home by completing simple tasks. Start earning today!,1
Report Submission,Let's meet at 10 AM in the conference room.,0
Weekly Standup,Please find the attached report for your review.,0
Earn money online,Exclusive deal just for you! Get 50% off on your next purchase.,1
Free gift card,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Client Feedback,Please find the attached report for your review.,0
Weekly Standup,Let's meet at 10 AM in the conference room.,0
Free gift card,Earn $5000 a week by following these simple steps.,1
"Congratulations, you won!",Earn $5000 a week by following these simple steps.,1
Earn money online,Exclusive deal just for you! Get 50% off on your next purchase.,1
Lunch Plan,Received positive feedback from the client regarding the recent project.,0
Project Update,Lunch is planned at 1 PM today. Join us if available.,0
Free gift card,Make money from home by completing simple tasks. Start earning today!,1
Earn money online,Exclusive deal just for you! Get 50% off on your next purchase.,1
Free gift card,Hurry! Limited time offer to get a free vacation package. Act now!,1
Weekly Standup,Lunch is planned at 1 PM today. Join us if available.,0
Exclusive deal just for you,You've been selected to receive a free gift card. Click here to claim it.,1
Limited time offer,You've been selected to receive a free gift card. Click here to claim it.,1
Earn money online,Make money from home by completing simple tasks. Start earning today!,1
Lunch Plan,The team outing is scheduled for next Friday. Confirm your availability.,0
Client Feedback,Received positive feedback from the client regarding the recent project.,0
Team Outing,Lunch is planned at 1 PM today. Join us if available.,0
Lunch Plan,Let's meet at 10 AM in the conference room.,0
Exclusive deal just for you,Earn $5000 a week by following these simple steps.,1
Client Feedback,The project is on track and will be completed by the end of the week.,0
Client Feedback,The team outing is scheduled for next Friday. Confirm your availability.,0
Win a free iPhone!,Exclusive deal just for you! Get 50% off on your next purchase.,1
Client Feedback,Lunch is planned at 1 PM today. Join us if available.,0
Limited time offer,Exclusive deal just for you! Get 50% off on your next purchase.,1
Meeting Reminder,Let's meet at 10 AM in the conference room.,0
Exclusive deal just for you,Hurry! Limited time offer to get a free vacation package. Act now!,1
"Congratulations, you won!",You've been selected to receive a free gift card. Click here to claim it.,1
Client Feedback,Let's meet at 10 AM in the conference room.,0
Invoice Attached,Lunch is planned at 1 PM today. Join us if available.,0
Free gift card,You've been selected to receive a free gift card. Click here to claim it.,1
Invoice Attached,Received positive feedback from the client regarding the recent project.,0
Free gift card,Exclusive deal just for you! Get 50% off on your next purchase.,1
Free gift card,Exclusive deal just for you! Get 50% off on your next purchase.,1
"Congratulations, you won!",Exclusive deal just for you! Get 50% off on your next purchase.,1
Client Feedback,Lunch is planned at 1 PM today. Join us if available.,0
Invoice Attached,Lunch is planned at 1 PM today. Join us if available.,0
Invoice Attached,Let's meet at 10 AM in the conference room.,0
Exclusive deal just for you,Make money from home by completing simple tasks. Start earning today!,1
Project Update,The project is on track and will be completed by the end of the week.,0
Weekly Standup,Lunch is planned at 1 PM today. Join us if available.,0
Client Feedback,Let's meet at 10 AM in the conference room.,0
Lunch Plan,Received positive feedback from the client regarding the recent project.,0
Meeting Reminder,The project is on track and will be completed by the end of the week.,0
Limited time offer,You've been selected to receive a free gift card. Click here to claim it.,1
Win a free iPhone!,You've been selected to receive a free gift card. Click here to claim it.,1
Meeting Reminder,Please find the attached report for your review.,0
Weekly Standup,The team outing is scheduled for next Friday. Confirm your availability.,0
"Congratulations, you won!",You've been selected to receive a free gift card. Click here to claim it.,1
Exclusive deal just for you,Exclusive deal just for you! Get 50% off on your next purchase.,1
Weekly Standup,The team outing is scheduled for next Friday. Confirm your availability.,0
Lunch Plan,Lunch is planned at 1 PM today. Join us if available.,0
Limited time offer,Earn $5000 a week by following these simple steps.,1
Invoice Attached,The project is on track and will be completed by the end of the week.,0
Free gift card,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Free gift card,You've been selected to receive a free gift card. Click here to claim it.,1
Win a free iPhone!,Earn $5000 a week by following these simple steps.,1
Invoice Attached,The project is on track and will be completed by the end of the week.,0
Weekly Standup,Please find the attached report for your review.,0
Lunch Plan,Please find the attached report for your review.,0
Limited time offer,Make money from home by completing simple tasks. Start earning today!,1
Limited time offer,Make money from home by completing simple tasks. Start earning today!,1
Limited time offer,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Win a free iPhone!,Make money from home by completing simple tasks. Start earning today!,1
Project Update,Lunch is planned at 1 PM today. Join us if available.,0
Meeting Reminder,The project is on track and will be completed by the end of the week.,0
Meeting Reminder,Received positive feedback from the client regarding the recent project.,0
Team Outing,The team outing is scheduled for next Friday. Confirm your availability.,0
Free gift card,Hurry! Limited time offer to get a free vacation package. Act now!,1
Report Submission,Please find the attached report for your review.,0
Project Update,The project is on track and will be completed by the end of the week.,0
Win a free iPhone!,You've been selected to receive a free gift card. Click here to claim it.,1
Report Submission,Received positive feedback from the client regarding the recent project.,0
Limited time offer,Exclusive deal just for you! Get 50% off on your next purchase.,1
Exclusive deal just for you,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
"Congratulations, you won!",Hurry! Limited time offer to get a free vacation package. Act now!,1
Report Submission,Lunch is planned at 1 PM today. Join us if available.,0
Win a free iPhone!,You've been selected to receive a free gift card. Click here to claim it.,1
Earn money online,You've been selected to receive a free gift card. Click here to claim it.,1
Lunch Plan,Let's meet at 10 AM in the conference room.,0
Earn money online,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Limited time offer,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Lunch Plan,Lunch is planned at 1 PM today. Join us if available.,0
Limited time offer,Earn $5000 a week by following these simple steps.,1
Team Outing,Lunch is planned at 1 PM today. Join us if available.,0
"Congratulations, you won!",Make money from home by completing simple tasks. Start earning today!,1
Free gift card,Exclusive deal just for you! Get 50% off on your next purchase.,1
Report Submission,Please find the attached report for your review.,0
Win a free iPhone!,Make money from home by completing simple tasks. Start earning today!,1
Exclusive deal just for you,Exclusive deal just for you! Get 50% off on your next purchase.,1
"Congratulations, you won!",Exclusive deal just for you! Get 50% off on your next purchase.,1
Invoice Attached,Please find the attached report for your review.,0
Client Feedback,Please find the attached report for your review.,0
Earn money online,Make money from home by completing simple tasks. Start earning today!,1
"Congratulations, you won!",Make money from home by completing simple tasks. Start earning today!,1
Free gift card,Hurry! Limited time offer to get a free vacation package. Act now!,1
Weekly Standup,The team outing is scheduled for next Friday. Confirm your availability.,0
Exclusive deal just for you,Earn $5000 a week by following these simple steps.,1
Invoice Attached,The team outing is scheduled for next Friday. Confirm your availability.,0
Win a free iPhone!,Make money from home by completing simple tasks. Start earning today!,1
Client Feedback,Please find the attached report for your review.,0
Earn money online,Exclusive deal just for you! Get 50% off on your next purchase.,1
Earn money online,Exclusive deal just for you! Get 50% off on your next purchase.,1
Free gift card,Make money from home by completing simple tasks. Start earning today!,1
Invoice Attached,Please find the attached report for your review.,0
Client Feedback,Let's meet at 10 AM in the conference room.,0
Earn money online,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
"Congratulations, you won!",Hurry! Limited time offer to get a free vacation package. Act now!,1
Invoice Attached,Please find the attached report for your review.,0
Free gift card,You've been selected to receive a free gift card. Click here to claim it.,1
Project Update,The project is on track and will be completed by the end of the week.,0
Lunch Plan,The project is on track and will be completed by the end of the week.,0
Team Outing,Please find the attached report for your review.,0
Meeting Reminder,Received positive feedback from the client regarding the recent project.,0
Team Outing,Lunch is planned at 1 PM today. Join us if available.,0
Limited time offer,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Free gift card,Make money from home by completing simple tasks. Start earning today!,1
Invoice Attached,Please find the attached report for your review.,0
Meeting Reminder,Please find the attached report for your review.,0
Limited time offer,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Limited time offer,Exclusive deal just for you! Get 50% off on your next purchase.,1
Meeting Reminder,The project is on track and will be completed by the end of the week.,0
Report Submission,Let's meet at 10 AM in the conference room.,0
Win a free iPhone!,You've been selected to receive a free gift card. Click here to claim it.,1
Free gift card,You've been selected to receive a free gift card. Click here to claim it.,1
Exclusive deal just for you,You've been selected to receive a free gift card. Click here to claim it.,1
Invoice Attached,Please find the attached report for your review.,0
Limited time offer,Make money from home by completing simple tasks. Start earning today!,1
Win a free iPhone!,You've been selected to receive a free gift card. Click here to claim it.,1
Win a free iPhone!,Hurry! Limited time offer to get a free vacation package. Act now!,1
Earn money online,Earn $5000 a week by following these simple steps.,1
Client Feedback,The project is on track and will be completed by the end of the week.,0
Exclusive deal just for you,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Invoice Attached,Please find the attached report for your review.,0
Report Submission,Lunch is planned at 1 PM today. Join us if available.,0
Invoice Attached,Let's meet at 10 AM in the conference room.,0
Earn money online,Earn $5000 a week by following these simple steps.,1
Exclusive deal just for you,Exclusive deal just for you! Get 50% off on your next purchase.,1
Client Feedback,Lunch is planned at 1 PM today. Join us if available.,0
Report Submission,The project is on track and will be completed by the end of the week.,0
Team Outing,Please find the attached report for your review.,0
Free gift card,Make money from home by completing simple tasks. Start earning today!,1
Invoice Attached,Lunch is planned at 1 PM today. Join us if available.,0
Weekly Standup,Please find the attached report for your review.,0
Limited time offer,Exclusive deal just for you! Get 50% off on your next purchase.,1
Meeting Reminder,The team outing is scheduled for next Friday. Confirm your availability.,0
Free gift card,Make money from home by completing simple tasks. Start earning today!,1
Client Feedback,Lunch is planned at 1 PM today. Join us if available.,0
Free gift card,You've been selected to receive a free gift card. Click here to claim it.,1
"Congratulations, you won!",Make money from home by completing simple tasks. Start earning today!,1
Exclusive deal just for you,Exclusive deal just for you! Get 50% off on your next purchase.,1
Limited time offer,Make money from home by completing simple tasks. Start earning today!,1
Weekly Standup,Lunch is planned at 1 PM today. Join us if available.,0
Win a free iPhone!,Exclusive deal just for you! Get 50% off on your next purchase.,1
Lunch Plan,Please find the attached report for your review.,0
Exclusive deal just for you,Make money from home by completing simple tasks. Start earning today!,1
Invoice Attached,Please find the attached report for your review.,0
Limited time offer,You've been selected to receive a free gift card. Click here to claim it.,1
Project Update,Please find the attached report for your review.,0
Project Update,The team outing is scheduled for next Friday. Confirm your availability.,0
Win a free iPhone!,Earn $5000 a week by following these simple steps.,1
Limited time offer,Exclusive deal just for you! Get 50% off on your next purchase.,1
Lunch Plan,Received positive feedback from the client regarding the recent project.,0
"Congratulations, you won!",Exclusive deal just for you! Get 50% off on your next purchase.,1
Exclusive deal just for you,Make money from home by completing simple tasks. Start earning today!,1
Earn money online,Exclusive deal just for you! Get 50% off on your next purchase.,1
Limited time offer,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Client Feedback,Lunch is planned at 1 PM today. Join us if available.,0
Meeting Reminder,Received positive feedback from the client regarding the recent project.,0
Client Feedback,Let's meet at 10 AM in the conference room.,0
Project Update,Lunch is planned at 1 PM today. Join us if available.,0
Limited time offer,Earn $5000 a week by following these simple steps.,1
Report Submission,The team outing is scheduled for next Friday. Confirm your availability.,0
Limited time offer,Hurry! Limited time offer to get a free vacation package. Act now!,1
Team Outing,The team outing is scheduled for next Friday. Confirm your availability.,0
Team Outing,Let's meet at 10 AM in the conference room.,0
Weekly Standup,Please find the attached report for your review.,0
Free gift card,Make money from home by completing simple tasks. Start earning today!,1
Earn money online,Earn $5000 a week by following these simple steps.,1
Invoice Attached,The project is on track and will be completed by the end of the week.,0
Invoice Attached,Please find the attached report for your review.,0
Weekly Standup,The team outing is scheduled for next Friday. Confirm your availability.,0
Exclusive deal just for you,Earn $5000 a week by following these simple steps.,1
Weekly Standup,The project is on track and will be completed by the end of the week.,0
Limited time offer,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Invoice Attached,Lunch is planned at 1 PM today. Join us if available.,0
Limited time offer,Exclusive deal just for you! Get 50% off on your next purchase.,1
"Congratulations, you won!",Hurry! Limited time offer to get a free vacation package. Act now!,1
Meeting Reminder,The project is on track and will be completed by the end of the week.,0
Free gift card,Make money from home by completing simple tasks. Start earning today!,1
Limited time offer,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Limited time offer,Congratulations! You've won a free iPhone. Click here to claim your prize.,1
Limited time offer,Earn $5000 a week by following these simple steps.,1
Win a free iPhone!,Exclusive deal just for you! Get 50% off on your next purchase.,1
